FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s,RL_Eg_d,RL_Cm_d,RL_Ca_d,RL_Ch_d
0,188.472666666667,14.2020912801623,210.519666666667,23.5653711559508,215.699,23.490039564388,215.694666666667,215.694666666667,-0.00011140957874748,0,0,0
1,13.389,3.18367944598929,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042,-0.00431322971666541,0,0,0
2,86.1225291396855,9.18717874428603,42.1241914893617,3.96459475256528,56.9513191489362,6.04343223020715,54.5216170212767,54.5216170212767,1.69715687751643e-05,9.64818962582391e-05,-2.83922372635649e-05,1.56096830032074e-06
3,9.447216374269,2.20431428102234,8.25526315789474,2.1129144849987,14.5991052631579,2.59605244018793,8.82594736842105,8.82594736842105,-0.000567313230524019,-3.18765739052867e-05,-8.29109680396295e-05,-0.000506621845533688
4,8.57794505494507,1.83058034935127,7.88692857142857,2.14960460031439,14.4552857142857,2.58592419903346,8.47242857142857,8.47242857142857,-0.00136887635720279,-0.000443575398766223,-7.90552892929932e-05,-0.000943348550443566
5,9.18014210526319,1.48499980948051,8.39669999999999,1.13627912074465,14.40045,2.61584689010126,8.56610000000001,8.56610000000001,-0.00108297377382325,-0.00144490625947643,-9.02668078531252e-05,-0.00160259211990761
6,98.9211333333334,7.29246705032834,54.2481666666666,3.95080793002731,58.2663333333333,4.15971190011771,54.1605,54.1605,-0.000318670879679367,-0.000359329987776259,-2.00225969307549e-05,-0.000387586168709951
7,8.09443274853801,3.26903792904589,6.70389473684211,2.83733730095906,14.6463684210526,2.54841895015649,8.20431578947368,8.20431578947368,-0.00025568760464011,0.00152539707501119,-8.98291808295184e-05,-0.000416808274605635
8,12.506,3.48347100254249,11.2107142857143,3.0908604326518,15.503,2.8902117423733,11.1595714285714,11.1595714285714,-0.000296912114014311,-0.000293001095569378,-0.000119778134041027,-0.000537366138257129
9,42.605330882353,3.33415197468118,26.2767647058823,2.36799194383209,30.4067058823529,2.67310690614377,9.62058823529413,9.62058823529413,-0.000160993695189189,-0.00031107053020783,-4.83616055279979e-05,-0.00108716896315812
