FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s,RL_Eg_d,RL_Cm_d,RL_Ca_d,RL_Ch_d
0,187.023,14.281892152073,210.519666666667,23.5653711559508,215.699,23.490039564388,215.694666666667,215.694666666667,-0.00780220732300365,0,0,0
1,9.033,5.23367006051227,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042,-0.328251654644159,0,0,0
2,86.0140277520813,9.20950758045975,41.8713829787234,3.99039972438847,56.8644893617022,6.09194225164168,53.920914893617,53.920914893617,-0.00124289887542674,-0.00590560130441642,-0.00155298066190383,-0.0110161435351484
3,7.3768888888889,3.18979296826579,6.31731578947369,2.9349162317354,14.4467894736842,2.84953470670575,6.92494736842107,6.92494736842107,-0.219589814601685,-0.23477734212528,-0.0105152736418633,-0.215785144646433
4,6.84632967032968,2.63345115201592,6.24600000000001,2.76925719977392,14.3126428571429,2.82116529497666,6.70735714285715,6.70735714285715,-0.202960866760382,-0.20840801695771,-0.00994614358515217,-0.209078045257603
5,6.52759999999999,2.62893148775405,5.66115,2.04518237535151,14.23405,2.89599808397767,6.0043,6.0043,-0.289713524510553,-0.326762874828305,-0.0116444182130642,-0.300185900685909
6,97.2707333333331,7.49333661033441,52.4338333333332,4.50074262894356,58.1531666666667,4.25416777657499,52.2911666666666,52.2911666666666,-0.0169973522688652,-0.0337923748313122,-0.00196221449922008,-0.0348889073453732
7,7.1084269005848,3.8712917005092,5.74057894736842,3.21821719361587,14.5091578947368,2.78006846097065,6.91899999999999,6.91899999999999,-0.122037382394183,-0.142388740357908,-0.00945721615809459,-0.157014883263635
8,10.6082857142857,4.39208058124502,9.45742857142858,4.02096403161981,15.3825714285714,3.08333955631783,9.23414285714286,9.23414285714286,-0.151996162929837,-0.156640933526966,-0.00788692944291836,-0.172980718769049
9,40.6533235294118,3.97778314518269,24.46,3.25422275578839,30.2882352941176,2.85351431186372,7.2184705882353,7.2184705882353,-0.0459696531160349,-0.0694291519989846,-0.00394437254693438,-0.250500830633709
10,24.9756305418719,2.52032442911649,14.4294482758621,1.96238484110773,23.3175172413793,2.88141264799122,2.75955172413793,2.75955172413793,-0.0694980425623554,-0.114808335497919,-0.00696963377961825,-0.378049443971781
11,5.03203956372969,2.58022510748618,3.21784523809523,1.45309002185906,15.0085535714286,3.65860443059118,3.512375,3.512375,-0.273609488266552,-0.320397454570664,-0.0204009560379002,-0.304007671377682
12,6.83796536796537,3.44876980196871,3.76663636363637,2.45757693743486,15.4342727272727,3.34953718070792,6.76581818181818,6.76581818181818,-0.0972797291539146,-0.155368009051158,-0.0126431367082853,-0.110553394407276
13,10.7530635208711,4.34001175387749,5.18686206896551,2.40001130710888,16.3900344827586,3.41186652702591,8.89905172413793,8.89905172413793,-0.0446242283838158,-0.0971383982850886,-0.0124762110533963,-0.063201607359007
14,3.37054907539117,2.29679674931202,1.90163157894737,1.05704167975345,15.0513947368421,3.57789282963329,4.11484210526316,4.11484210526316,-0.192040623407701,-0.267877043993535,-0.0171294728968394,-0.195393545206098
15,4.56721276595744,3.17435140351199,2.60831914893617,1.62157341970494,15.1675531914894,3.58566347394946,4.41914893617022,4.41914893617022,-0.189198336930539,-0.258278426182596,-0.0168190657416645,-0.198505832727392
16,7.41671111111111,2.12209442868844,15.439,4.80275394387901,16.521,4.33717766642204,17.6661,17.6661,-0.387764910329783,-0.0326744149619379,-0.0155230462116023,-0.00455851693243907
17,9.31319999999999,3.63873689158286,15.7546,4.64877510210485,16.7752,4.20713262506959,17.8566,17.8566,-0.26374955531839,-0.0256292906178499,-0.0114790807307015,-0.00337110007255667
18,7.94165497076026,2.35679498029032,15.4234210526316,4.79876777383699,16.5083684210526,4.34036887977726,17.6693157894737,17.6693157894737,-0.322830063649974,-0.0270653426234825,-0.0124677679889192,-0.00314748335007672
19,6.89275,1.60076191319426,15.333625,4.88089726817903,16.462875,4.39180205435761,17.6095,17.6095,-0.414784649431807,-0.0329068218190993,-0.0150100964774513,-0.00475453729803815
20,14.2682657657658,2.91719182797651,11.2647837837838,3.14695319489051,16.3347027027027,3.52333068370438,18.6105405405405,18.6105405405405,-0.113590857837745,-0.0328503738088387,-0.0126638524743306,-0.00350788840823157
21,6.68799999999999,1.28998451931024,15.5048,4.81023027258315,16.5944,4.31050682740546,17.6576,17.6576,-0.447706346257072,-0.0357111760681634,-0.0161734016315688,-0.0062022310021499
22,120.739808698607,9.37504163051896,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042,-0.01342236818513,0,0,0
23,9.60898612069627,3.10432866737325,7.46127777777778,2.09214865384306,15.2162407407408,2.92191190780275,6.22000617283951,6.22000617283951,-0.231573919542564,-0.292041664711808,-0.0106765322161422,-0.305408576305591
24,32.573612195122,2.8552791202719,19.4961951219512,2.03883493771012,27.0354390243903,2.93620816668583,18.6916585365854,18.6916585365854,-0.0821662754127224,-0.134660914663548,-0.00609281523071691,-0.137173706242953
25,111.827305555556,8.37946320515453,66.0965555555555,5.01244245671219,72.5052222222222,5.20998145472807,62.279,62.279,-0.010150073861635,-0.0211913490445916,-0.00162635210607069,-0.00372197189838114
26,7.11752222222222,3.78638420808416,7.3618888888889,4.77432615037873,16.7398888888889,4.26522332579524,13.0846944444444,13.0846944444444,-0.205056146414585,-0.146274445378611,-0.00411319975157426,-0.037251034700281
27,81.6501794871795,6.34952417017434,46.4095384615385,3.85542658603612,54.5158461538462,4.1134583091548,46.3383076923077,46.3383076923077,-0.0151679299905093,-0.0276056810214251,-0.00267798465819215,-0.0291169189509789
28,6.2176,3.02990860286202,6.12549999999999,2.69167861615416,14.291,2.89532798597475,3.7148333333333,3.7148333333333,-0.271061784349877,-0.254956415963716,-0.0107980895687685,-0.309189524252294
29,7.73,4.03849098171698,5.5245,2.35524880786446,14.2375,2.92453357762338,4.6915,4.6915,-0.187598528638991,-0.301712696707325,-0.0120736911494292,-0.361309645361105
30,9.449,5.34714793053184,6.833,2.92243933241592,14.5415,3.0005884891603,4.0775,4.0775,-0.128803245436105,-0.24296476844671,-0.010681362043746,-0.185151878497202
31,75.1373333333334,5.83495645175621,43.7662666666666,3.94681805614648,49.6469333333334,3.70714417819943,7.53006666666665,7.53006666666665,-0.0203506384321289,-0.0397024147382313,-0.00235911931586541,-0.260927317069166
32,7.88041758241763,3.38657567739759,7.20464285714284,2.86120365559808,14.5436428571429,2.7761044898908,6.36128571428571,6.36128571428571,-0.241291898055318,-0.270695501913068,-0.0101651904210944,-0.288765014055711
33,73.0402885375495,5.43738862179623,41.5184782608695,3.73146714459741,49.0608260869565,3.55924560630434,3.55926086956521,3.55926086956521,-0.016690963123396,-0.0340906792014924,-0.00226003687157293,-0.289402185704458
34,5.28805555555556,2.59305895455133,5.05511111111112,2.26249237803126,14.2046666666667,2.87717618243305,0.827777777777781,0.827777777777781,-0.273186115043754,-0.265660560079644,-0.0109624861720238,-0.443780797438222
35,7.66012865497076,3.09401474804297,6.78442105263158,2.67439837271179,14.4702105263158,2.7911872076174,2.86031578947368,2.86031578947368,-0.21124706450029,-0.22222825594674,-0.00960731409295892,-0.375326153161234
36,6.84964210526317,1.94181877938507,6.88485,2.6401142362937,14.38195,2.84096247163972,4.84679999999999,4.84679999999999,-0.306463680565473,-0.269263834936,-0.0102846250189245,-0.390638554671292
